[     143ms] [WARNING] Failed to decode downloaded font: http://localhost:5174/@fs/C:/Users/Henry%20Lan/AppData/Local/npm-cache/_npx/a3af1b0fdbe56d97/node_modules/vitepress/dist/client/theme-default/fonts/inter-roman-latin.woff2 @ http://localhost:5174/zh/:0
[     143ms] [WARNING] OTS parsing error: invalid sfntVersion: 1008813135 @ http://localhost:5174/zh/:0
[     143ms] [WARNING] Failed to decode downloaded font: http://localhost:5174/@fs/C:/Users/Henry%20Lan/AppData/Local/npm-cache/_npx/a3af1b0fdbe56d97/node_modules/vitepress/dist/client/theme-default/fonts/inter-roman-latin.woff2 @ http://localhost:5174/zh/:0
[     143ms] [WARNING] OTS parsing error: invalid sfntVersion: 1008813135 @ http://localhost:5174/zh/:0
[     143ms] [WARNING] Failed to decode downloaded font: http://localhost:5174/@fs/C:/Users/Henry%20Lan/AppData/Local/npm-cache/_npx/a3af1b0fdbe56d97/node_modules/vitepress/dist/client/theme-default/fonts/inter-roman-latin.woff2 @ http://localhost:5174/zh/:0
[     143ms] [WARNING] OTS parsing error: invalid sfntVersion: 1008813135 @ http://localhost:5174/zh/:0
[   13949ms] [WARNING] Failed to decode downloaded font: http://localhost:5174/@fs/C:/Users/Henry%20Lan/AppData/Local/npm-cache/_npx/a3af1b0fdbe56d97/node_modules/vitepress/dist/client/theme-default/fonts/inter-roman-latin.woff2 @ http://localhost:5174/zh/:0
[   13949ms] [WARNING] OTS parsing error: invalid sfntVersion: 1008813135 @ http://localhost:5174/zh/:0
[   13953ms] [WARNING] Failed to decode downloaded font: http://localhost:5174/@fs/C:/Users/Henry%20Lan/AppData/Local/npm-cache/_npx/a3af1b0fdbe56d97/node_modules/vitepress/dist/client/theme-default/fonts/inter-roman-latin.woff2 @ http://localhost:5174/zh/:0
[   13953ms] [WARNING] OTS parsing error: invalid sfntVersion: 1008813135 @ http://localhost:5174/zh/:0
[ 9991708ms] [LOG] [vite] server connection lost. Polling for restart... @ http://localhost:5174/@vite/client:559
[ 9991712ms] [ERROR] Failed to load resource: net::ERR_NETWORK_IO_SUSPENDED @ http://localhost:5174/:0
[33958853ms] [WARNING] Failed to decode downloaded font: http://localhost:5174/@fs/C:/Users/Henry%20Lan/AppData/Local/npm-cache/_npx/a3af1b0fdbe56d97/node_modules/vitepress/dist/client/theme-default/fonts/inter-roman-latin.woff2 @ http://localhost:5174/zh/:0
[33958853ms] [WARNING] OTS parsing error: invalid sfntVersion: 1008813135 @ http://localhost:5174/zh/:0
[33958853ms] [WARNING] Failed to decode downloaded font: http://localhost:5174/@fs/C:/Users/Henry%20Lan/AppData/Local/npm-cache/_npx/a3af1b0fdbe56d97/node_modules/vitepress/dist/client/theme-default/fonts/inter-roman-latin.woff2 @ http://localhost:5174/zh/:0
[33958853ms] [WARNING] OTS parsing error: invalid sfntVersion: 1008813135 @ http://localhost:5174/zh/:0
[33958853ms] [WARNING] Failed to decode downloaded font: http://localhost:5174/@fs/C:/Users/Henry%20Lan/AppData/Local/npm-cache/_npx/a3af1b0fdbe56d97/node_modules/vitepress/dist/client/theme-default/fonts/inter-roman-latin.woff2 @ http://localhost:5174/zh/:0
[33958853ms] [WARNING] OTS parsing error: invalid sfntVersion: 1008813135 @ http://localhost:5174/zh/:0
[34718419ms] [WARNING] Failed to decode downloaded font: http://localhost:5174/@fs/C:/Users/Henry%20Lan/AppData/Local/npm-cache/_npx/a3af1b0fdbe56d97/node_modules/vitepress/dist/client/theme-default/fonts/inter-roman-latin.woff2 @ http://localhost:5174/zh/:0
[34718419ms] [WARNING] OTS parsing error: invalid sfntVersion: 1008813135 @ http://localhost:5174/zh/:0
[34718419ms] [WARNING] Failed to decode downloaded font: http://localhost:5174/@fs/C:/Users/Henry%20Lan/AppData/Local/npm-cache/_npx/a3af1b0fdbe56d97/node_modules/vitepress/dist/client/theme-default/fonts/inter-roman-latin.woff2 @ http://localhost:5174/zh/:0
[34718419ms] [WARNING] OTS parsing error: invalid sfntVersion: 1008813135 @ http://localhost:5174/zh/:0
[34718419ms] [WARNING] Failed to decode downloaded font: http://localhost:5174/@fs/C:/Users/Henry%20Lan/AppData/Local/npm-cache/_npx/a3af1b0fdbe56d97/node_modules/vitepress/dist/client/theme-default/fonts/inter-roman-latin.woff2 @ http://localhost:5174/zh/:0
[34718419ms] [WARNING] OTS parsing error: invalid sfntVersion: 1008813135 @ http://localhost:5174/zh/:0
